tempo;regiao_de_saude_de_notificacao;residencia_nut_iii;doenca_de_declaracao_obrigatoria;sexo;grupo_etario;no_de_casos_notificados
2017-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite C;Masculino;45-54 anos;1
2017-08;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Feminino;1-4 anos;1
2017-08;Regiao de Saude Norte;Tamega e Sousa;Campilobacteriose;Masculino;1-4 anos;1
2017-10;Regiao de Saude do Alentejo;Alto Alentejo;Doenca invasiva meningococica;Masculino;5-14 anos;1
2017-08;Regiao de Saude Norte;Area Metropolitana do Porto;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Feminino;55-64 anos;1
2017-10;RA Madeira;Regiao Autonoma da Madeira;Gonorreia;Masculino;25-34 anos;1
2015-06;Regiao de Saude do Alentejo;Regiao de Aveiro;Parotidite Epidemica;Masculino;15-24 anos;1
2017-08;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca dos Legionarios;Masculino;45-54 anos;1
2017-10;Regiao de Saude Norte;Area Metropolitana do Porto;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Feminino;25-34 anos;1
2017-10;Regiao de Saude LVT;Medio Tejo;Doenca de Creutzfeldt Jakob;Feminino;45-54 anos;1
2017-10;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite A;Masculino;35-44 anos;1
2015-07;Regiao de Saude LVT;Regiao de Aveiro;Doenca invasiva meningococica;Masculino;1-4 anos;1
2017-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Febre escaro-nodular (Rickettsiose);Masculino;55-64 anos;1
2017-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;25-34 anos;4
2017-10;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Feminino;15-24 anos;1
2017-10;Regiao de Saude Norte;Tamega e Sousa;Listeriose;Masculino;35-44 anos;1
2017-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;1
2017-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Parotidite Epidemica;Masculino;5-14 anos;1
2015-07;Regiao de Saude LVT;Regiao de Aveiro;Malaria;Masculino;35-44 anos;1
2017-08;Regiao de Saude do Centro;Viseu Dao Lafoes;Campilobacteriose;Masculino;<1 ano;1
2017-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca dos Legionarios;Masculino;55-64 anos;1
2015-07;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;55-64 anos;1
2017-09;Regiao de Saude do Centro;Viseu Dao Lafoes;Parotidite Epidemica;Masculino;1-4 anos;1
2015-07;Regiao de Saude Norte;Regiao de Aveiro;Salmoneloses nao Typhi e nao Paratyphi;Feminino;1-4 anos;1
2015-07;Regiao de Saude LVT;Regiao de Aveiro;Yersiniose;Masculino;1-4 anos;1
2017-09;Regiao de Saude do Alentejo;Alentejo Litoral;Hepatite A;Masculino;15-24 anos;1
2017-09;Regiao de Saude LVT;Area Metropolitana de Lisboa;Salmoneloses nao Typhi e nao Paratyphi;Feminino;<1 ano;1
2015-08;Regiao de Saude do Algarve;Regiao de Aveiro;Salmoneloses nao Typhi e nao Paratyphi;Feminino;35-44 anos;1
2016-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Tosse Convulsa;Masculino;<1 ano;2
2017-12;Regiao de Saude do Centro;Regiao de Aveiro;Doenca invasiva por Haemophilus influenzae;Feminino;<1 ano;1
2016-03;Regiao de Saude do Centro;Regiao de Aveiro;Gonorreia;Masculino;25-34 anos;1
2017-12;Regiao de Saude Norte;Tamega e Sousa;Campilobacteriose;Feminino;<1 ano;1
2018-01;Regiao de Saude Norte;Tamega e Sousa;Sifilis - Excluindo Sifilis Congenita;Feminino;45-54 anos;1
2018-01;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca dos Legionarios;Masculino;65-74 anos;1
2017-02;Regiao de Saude Norte;Douro;Doenca invasiva pneumococica;Feminino;75 ou + anos;1
2016-03;Regiao de Saude LVT;Algarve;Hepatite B;Masculino;15-24 anos;1
2017-02;Regiao de Saude Norte;Area Metropolitana do Porto;Salmoneloses nao Typhi e nao Paratyphi;Feminino;5-14 anos;1
2016-03;Regiao de Saude Norte;Area Metropolitana do Porto;Parotidite Epidemica;Feminino;5-14 anos;1
2018-07;Regiao de Saude LVT;Area Metropolitana de Lisboa;Listeriose;Masculino;75 ou + anos;1
2017-02;Regiao de Saude LVT;Estrangeiro;Gonorreia;Masculino;25-34 anos;1
2017-02;Regiao de Saude LVT;Leziria do Tejo;Hepatite C;Masculino;35-44 anos;1
2016-03;Regiao de Saude Norte;Area Metropolitana do Porto;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Feminino;25-34 anos;1
2018-08;Regiao de Saude LVT;Medio Tejo;Salmoneloses nao Typhi e nao Paratyphi;Masculino;5-14 anos;1
2016-03;Regiao de Saude do Algarve;Algarve;Hepatite B;Masculino;45-54 anos;1
2018-08;Regiao de Saude Norte;Area Metropolitana de Lisboa;Gonorreia;Masculino;35-44 anos;1
2018-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;2
2017-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;35-44 anos;1
2016-03;Regiao de Saude Norte;Douro;Campilobacteriose;Masculino;1-4 anos;1
2017-02;Regiao de Saude LVT;Leziria do Tejo;Gonorreia;Masculino;65-74 anos;1
2017-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite B;Masculino;35-44 anos;1
2016-03;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Feminino;45-54 anos;1
2017-02;Regiao de Saude do Centro;Regiao de Coimbra;Tosse Convulsa;Masculino;<1 ano;1
2018-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Febre escaro-nodular (Rickettsiose);Feminino;55-64 anos;1
2017-02;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;35-44 anos;1
2016-04;Regiao de Saude do Centro;Regiao de Aveiro;Parotidite Epidemica;Feminino;65-74 anos;1
2016-04;Regiao de Saude LVT;Oeste;Malaria;Masculino;45-54 anos;1
2017-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca invasiva pneumococica;Feminino;65-74 anos;1
2018-08;Regiao de Saude Norte;Area Metropolitana do Porto;Salmoneloses nao Typhi e nao Paratyphi;Masculino;1-4 anos;1
2016-04;Regiao de Saude Norte;Tamega e Sousa;Campilobacteriose;Feminino;1-4 anos;1
2018-08;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Masculino;1-4 anos;1
2016-04;Regiao de Saude Norte;Tamega e Sousa;Doenca dos Legionarios;Masculino;55-64 anos;1
2016-04;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca invasiva por Haemophilus influenzae;Masculino;65-74 anos;1
2017-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;35-44 anos;1
2016-04;Regiao de Saude Norte;Douro;Febre escaro-nodular (Rickettsiose);Feminino;55-64 anos;1
2018-09;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Feminino;5-14 anos;1
2016-05;Regiao de Saude do Centro;Beiras e Serra da Estrela;Campilobacteriose;Feminino;<1 ano;1
2016-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Feminino;25-34 anos;1
2018-09;Regiao de Saude do Algarve;Algarve;Salmoneloses nao Typhi e nao Paratyphi;Feminino;1-4 anos;1
2016-05;Regiao de Saude do Algarve;Algarve;Doenca invasiva pneumococica;Masculino;55-64 anos;1
2016-05;Regiao de Saude Norte;Area Metropolitana do Porto;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Feminino;<1 ano;1
2018-09;Regiao de Saude Norte;Douro;Febre escaro-nodular (Rickettsiose);Masculino;25-34 anos;1
2016-05;Regiao de Saude do Alentejo;Alto Alentejo;Shigelose;Masculino;5-14 anos;1
2017-03;Regiao de Saude do Centro;Regiao de Leiria;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;1
2017-03;Regiao de Saude Norte;Area Metropolitana do Porto;Giardiase;Masculino;25-34 anos;1
2018-09;Regiao de Saude Norte;Area Metropolitana do Porto;Tosse Convulsa;Masculino;5-14 anos;1
2018-09;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Masculino;15-24 anos;1
2017-05;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Masculino;1-4 anos;2
2017-05;Regiao de Saude do Centro;Regiao de Aveiro;Doenca invasiva pneumococica;Feminino;65-74 anos;1
2018-10;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;35-44 anos;1
2018-10;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Feminino;15-24 anos;1
2018-10;Regiao de Saude Norte;Area Metropolitana do Porto;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Feminino;15-24 anos;1
2018-10;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca dos Legionarios;Feminino;55-64 anos;1
2017-05;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;15-24 anos;1
2018-11;RA Acores;Regiao Autonoma dos cores;Parotidite Epidemica;Masculino;1-4 anos;1
2018-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite C;Masculino;35-44 anos;1
2018-11;Regiao de Saude Norte;Cavado;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;1
2017-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca dos Legionarios;Feminino;55-64 anos;1
2018-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;45-54 anos;1
2018-11;Regiao de Saude LVT;Area Metropolitana de Lisboa;Listeriose;Masculino;65-74 anos;1
2018-11;Regiao de Saude Norte;Area Metropolitana do Porto;Parotidite Epidemica;Masculino;55-64 anos;1
2018-11;Regiao de Saude Norte;Ave;Sifilis - Excluindo Sifilis Congenita;Masculino;65-74 anos;1
2017-05;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca invasiva pneumococica;Feminino;75 ou + anos;1
2017-05;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;15-24 anos;1
2018-12;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Masculino;1-4 anos;1
2017-06;Regiao de Saude Norte;Ave;Sifilis - Excluindo Sifilis Congenita;Masculino;15-24 anos;1
2017-06;Regiao de Saude do Algarve;Algarve;Sifilis - Excluindo Sifilis Congenita;Feminino;15-24 anos;1
2017-06;Regiao de Saude do Centro;Regiao de Coimbra;Hepatite A;Masculino;25-34 anos;1
2018-12;Regiao de Saude LVT;Leziria do Tejo;Parotidite Epidemica;Feminino;15-24 anos;1
2018-12;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;55-64 anos;1
2018-06;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;2
2018-06;Regiao de Saude Norte;Area Metropolitana do Porto;Febre Q;Masculino;35-44 anos;1
2018-06;Regiao de Saude Norte;Cavado;Campilobacteriose;Feminino;1-4 anos;1
2018-06;Regiao de Saude LVT;Area Metropolitana de Lisboa;Criptosporidiose;Feminino;55-64 anos;1
2018-06;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;25-34 anos;1
2018-06;Regiao de Saude LVT;Area Metropolitana de Lisboa;Listeriose;Masculino;45-54 anos;1
2018-06;Regiao de Saude do Alentejo;Alentejo Central;Tosse Convulsa;Masculino;<1 ano;1
2018-06;Regiao de Saude do Centro;Regiao de Coimbra;Doenca dos Legionarios;Masculino;65-74 anos;1
2018-06;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Feminino;35-44 anos;1
2018-06;Regiao de Saude Norte;Cavado;Rubeola - Excluindo Rubeola Congenita;Masculino;5-14 anos;1
2018-06;Regiao de Saude Norte;Douro;Malaria;Masculino;45-54 anos;1
2018-06;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite E;Masculino;65-74 anos;1
2018-06;Regiao de Saude do Centro;Regiao de Leiria;Salmoneloses nao Typhi e nao Paratyphi;Feminino;<1 ano;1
2018-07;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;25-34 anos;1
2018-07;Regiao de Saude LVT;Oeste;Sifilis - Excluindo Sifilis Congenita;Feminino;35-44 anos;1
2018-07;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;15-24 anos;1
2018-07;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;25-34 anos;1
2018-07;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Masculino;1-4 anos;1
2018-07;Regiao de Saude do Alentejo;Alentejo Litoral;Hepatite A;Masculino;15-24 anos;1
2018-07;Regiao de Saude do Centro;Viseu Dao Lafoes;Campilobacteriose;Feminino;5-14 anos;1
2018-07;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Masculino;<1 ano;1
2018-07;Regiao de Saude do Centro;Regiao de Coimbra;Febre escaro-nodular (Rickettsiose);Masculino;65-74 anos;1
2018-07;Regiao de Saude do Algarve;Algarve;Gonorreia;Masculino;15-24 anos;2
2018-07;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Feminino;75 ou + anos;1
2018-07;Regiao de Saude do Centro;Regiao de Coimbra;Doenca dos Legionarios;Masculino;75 ou + anos;1
2018-07;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;35-44 anos;1
2018-07;Regiao de Saude Norte;Area Metropolitana do Porto;Hepatite C;Masculino;35-44 anos;1
2018-08;Regiao de Saude Norte;Alto Tamega;Campilobacteriose;Masculino;1-4 anos;1
2018-08;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Feminino;45-54 anos;1
2018-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Tetano - Excluindo Tetano Neonatal;Feminino;75 ou + anos;1
2018-08;Regiao de Saude do Centro;Beira Baixa;Yersiniose;Masculino;<1 ano;1
2018-08;Regiao de Saude do Centro;Beiras e Serra da Estrela;Febre escaro-nodular (Rickettsiose);Masculino;5-14 anos;1
2018-08;Regiao de Saude do Centro;Viseu Dao Lafoes;Sifilis - Excluindo Sifilis Congenita;Masculino;15-24 anos;1
2018-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Campilobacteriose;Masculino;15-24 anos;2
2018-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Feminino;25-34 anos;1
2018-08;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2018-08;Regiao de Saude do Alentejo;Alentejo Central;Febre escaro-nodular (Rickettsiose);Masculino;5-14 anos;1
2018-08;Regiao de Saude Norte;Ave;Campilobacteriose;Masculino;35-44 anos;1
2018-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;25-34 anos;3
2018-08;Regiao de Saude Norte;Alto Tamega;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;25-34 anos;1
2018-01;Regiao de Saude LVT;Area Metropolitana de Lisboa;Malaria;Masculino;5-14 anos;1
2018-01;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite B;Feminino;25-34 anos;1
2018-01;Regiao de Saude do Centro;Regiao de Aveiro;Hepatite C;Feminino;35-44 anos;1
2018-01;Regiao de Saude do Algarve;Algarve;Doenca dos Legionarios;Masculino;45-54 anos;1
2018-01;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;15-24 anos;1
2018-01;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;2
2018-01;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca dos Legionarios;Masculino;65-74 anos;1
2018-02;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca dos Legionarios;Feminino;75 ou + anos;1
2018-02;Regiao de Saude Norte;Ave;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2018-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;25-34 anos;1
2018-02;Regiao de Saude Norte;Tamega e Sousa;Campilobacteriose;Masculino;<1 ano;1
2018-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Feminino;45-54 anos;1
2018-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;35-44 anos;2
2018-02;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Masculino;45-54 anos;1
2018-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;35-44 anos;1
2018-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca de Creutzfeldt Jakob;Feminino;75 ou + anos;1
2018-02;Regiao de Saude LVT;Medio Tejo;Doenca invasiva meningococica;Masculino;5-14 anos;1
2018-02;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Masculino;5-14 anos;1
2018-02;Regiao de Saude Norte;Tamega e Sousa;Campilobacteriose;Masculino;<1 ano;1
2018-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;25-34 anos;1
2018-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Feminino;35-44 anos;2
2018-02;Regiao de Saude Norte;Alto Minho;Parotidite Epidemica;Masculino;5-14 anos;1
2018-02;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca dos Legionarios;Masculino;55-64 anos;1
2018-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;35-44 anos;2
2018-02;Regiao de Saude Norte;Area Metropolitana do Porto;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;25-34 anos;1
2018-02;Regiao de Saude LVT;Estrangeiro;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2018-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite A;Masculino;25-34 anos;1
2018-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;25-34 anos;1
2018-03;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Feminino;35-44 anos;1
2018-03;Regiao de Saude Norte;Terras de Tras-os-Montes;Hepatite A;Masculino;25-34 anos;1
2018-03;Regiao de Saude Norte;Area Metropolitana do Porto;Hepatite C;Masculino;45-54 anos;1
2018-03;Regiao de Saude do Alentejo;Alentejo Litoral;Campilobacteriose;Feminino;5-14 anos;1
2018-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;25-34 anos;3
2018-03;Regiao de Saude Norte;Ave;Doenca dos Legionarios;Feminino;75 ou + anos;1
2018-03;Regiao de Saude do Centro;Regiao de Coimbra;Campilobacteriose;Masculino;75 ou + anos;1
2018-03;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;25-34 anos;1
2018-03;Regiao de Saude do Centro;Regiao de Leiria;Hepatite B;Feminino;65-74 anos;1
2018-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2018-03;Regiao de Saude Norte;Tamega e Sousa;Campilobacteriose;Feminino;1-4 anos;1
2018-03;Regiao de Saude do Centro;Regiao de Coimbra;Sifilis - Excluindo Sifilis Congenita;Masculino;55-64 anos;1
2018-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;1
2018-03;Regiao de Saude do Alentejo;Alentejo Central;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;1
2018-03;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;35-44 anos;1
2018-03;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Masculino;5-14 anos;1
2018-04;Regiao de Saude do Algarve;Algarve;Febre escaro-nodular (Rickettsiose);Feminino;1-4 anos;1
2018-04;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;15-24 anos;1
2018-04;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Masculino;15-24 anos;1
2018-04;RA Madeira;Regiao Autonoma da Madeira;Gonorreia;Masculino;35-44 anos;1
2018-04;Regiao de Saude Norte;Area Metropolitana do Porto;Doenca invasiva meningococica;Feminino;35-44 anos;1
2018-04;Regiao de Saude Norte;Tamega e Sousa;Sarampo;Masculino;1-4 anos;1
2018-04;Regiao de Saude do Algarve;Algarve;Dengue;Feminino;15-24 anos;1
2018-04;Regiao de Saude Norte;Area Metropolitana do Porto;Campilobacteriose;Masculino;1-4 anos;1
2018-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite A;Masculino;5-14 anos;1
2018-05;RA Acores;Regiao Autonoma dos cores;Hepatite C;Masculino;35-44 anos;1
2018-05;Regiao de Saude Norte;Alto Tamega;Campilobacteriose;Masculino;1-4 anos;1
2018-08;Regiao de Saude LVT;Estrangeiro;Salmoneloses nao Typhi e nao Paratyphi;Feminino;1-4 anos;1
2018-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;15-24 anos;1
2018-08;Regiao de Saude Norte;Estrangeiro;Dengue;Masculino;25-34 anos;1
2018-08;Regiao de Saude do Alentejo;Baixo Alentejo;Doenca dos Legionarios;Masculino;55-64 anos;1
2018-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;35-44 anos;1
2018-08;Regiao de Saude Norte;Ave;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;1
2018-09;Regiao de Saude LVT;Area Metropolitana de Lisboa;Campilobacteriose;Masculino;5-14 anos;1
2018-09;Regiao de Saude Norte;Area Metropolitana do Porto;Sifilis - Excluindo Sifilis Congenita;Feminino;35-44 anos;1
2018-04;Regiao de Saude Norte;Area Metropolitana do Porto;Sarampo;Feminino;25-34 anos;1
2018-04;RA Acores;Regiao Autonoma dos cores;Parotidite Epidemica;Feminino;5-14 anos;1
2017-01;Regiao de Saude LVT;Oeste;Hepatite C;Feminino;35-44 anos;1
2017-01;Regiao de Saude Norte;Area Metropolitana do Porto;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;25-34 anos;1
2017-04;Regiao de Saude LVT;Oeste;Hepatite A;Masculino;35-44 anos;1
2017-04;Regiao de Saude do Algarve;Algarve;Gonorreia;Masculino;25-34 anos;1
2017-02;Regiao de Saude Norte;Area Metropolitana do Porto;Gonorreia;Masculino;15-24 anos;1
2015-06;RA Madeira;Regiao de Aveiro;Malaria;Masculino;25-34 anos;1
2017-04;Regiao de Saude LVT;Area Metropolitana de Lisboa;Doenca dos Legionarios;Feminino;75 ou + anos;1
2017-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite A;Masculino;25-34 anos;1
2015-06;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2017-05;Regiao de Saude Norte;Alto Minho;Gonorreia;Masculino;45-54 anos;1
2017-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Feminino;15-24 anos;1
2017-05;Regiao de Saude do Algarve;Algarve;Hepatite A;Feminino;15-24 anos;1
2017-02;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite C;Feminino;35-44 anos;1
2015-07;Regiao de Saude Norte;Regiao de Aveiro;Tosse Convulsa;Masculino;25-34 anos;1
2017-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Salmoneloses nao Typhi e nao Paratyphi;Feminino;5-14 anos;1
2015-07;Regiao de Saude Norte;Regiao de Aveiro;Salmoneloses nao Typhi e nao Paratyphi;Feminino;5-14 anos;1
2017-02;Regiao de Saude Norte;Area Metropolitana do Porto;Hepatite C;Feminino;65-74 anos;1
2017-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Hepatite A;Masculino;35-44 anos;1
2015-07;Regiao de Saude do Centro;Regiao de Coimbra;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;1
2017-03;Regiao de Saude do Alentejo;Alentejo Litoral;Doenca dos Legionarios;Feminino;15-24 anos;1
2017-03;Regiao de Saude LVT;Area Metropolitana de Lisboa;Equinococose/Hidatidose;Feminino;55-64 anos;1
2017-03;Regiao de Saude Norte;Tamega e Sousa;Doenca invasiva pneumococica;Masculino;75 ou + anos;1
2017-03;Regiao de Saude Norte;Area Metropolitana do Porto;Hepatite A;Masculino;15-24 anos;1
